DayOfYear,Cumulative Return,Cum_Current_Year
260,1.0859072288376754,
261,1.0859083073349296,
262,1.0843998342076313,
263,1.0824137841726134,
264,1.0762724225927274,
265,1.0743404004749066,
266,1.0707162703398285,
267,1.0663102734041745,
268,1.0673701080080809,
269,1.06872238608849,
270,1.0671368310501301,
271,1.0692740486504189,
272,1.0709364360864637,
273,1.0619336003123898,
274,1.0682187851400553,
275,1.0688828192274735,
276,1.0661862276886742,
277,1.0665271707200719,
278,1.0700955139130144,
279,1.0728876820870732,
280,1.0668963066173769,
281,1.0649770475430664,
282,1.0627023878127968,
283,1.0612663138602578,
284,1.0617787247774515,
285,1.0628229632438302,
286,1.0626216136632463,
287,1.0723505310911015,
288,1.0755924388256233,
289,1.0724366397810574,
290,1.0757456906554406,
291,1.0763265368676356,
292,1.0770617557627582,
293,1.0780155456289264,
294,1.084499026683113,
295,1.0843440509061737,
296,1.0802688578301538,
297,1.0797326479498062,
298,1.0790612201147036,
299,1.0755640847791903,
300,1.0734165623000849,
301,1.0816523708629269,
302,1.085594815753492,
303,1.0858192285778894,
304,1.0873683502911191,
305,1.0896306050799147,
306,1.0928169882989682,
307,1.096512234437637,
308,1.098241338481592,
309,1.105303738400055,
310,1.107650703643158,
311,1.1044156846696531,
312,1.1079221906070151,
313,1.1028132021598067,
314,1.1076547412499533,
315,1.106123006362784,
316,1.105313454703665,
317,1.1058780480704111,
318,1.1106014818147485,
319,1.1084452550543813,
320,1.1114009908315385,
321,1.1106388974751276,
322,1.1108474698263857,
323,1.1094466307146513,
324,1.1075057396354322,
325,1.1045516043339072,
326,1.1074180515476495,
327,1.1084214357814222,
328,1.11102015554725,
329,1.1185663233589729,
330,1.1182296765796642,
331,1.121422101324632,
332,1.125332336898265,
333,1.125861867084209,
334,1.1283433715177935,
335,1.1305981555233706,
336,1.129080448399687,
337,1.1289396631904483,
338,1.1314389928851358,
339,1.132087837758245,
340,1.1372598030853422,
341,1.1347939569495458,
342,1.1333399795431178,
343,1.1351847315914945,
344,1.1345638733862,
345,1.1326396234272011,
346,1.1327394233769277,
347,1.1318165454149507,
348,1.1284860647838297,
349,1.1283152798288263,
350,1.1302036241498328,
351,1.1301645612452051,
352,1.132950637558352,
353,1.1319969147455264,
354,1.1324044966065827,
355,1.1367872528007332,
356,1.138884244504623,
357,1.1435594583726094,
358,1.1412152742753514,
359,1.144425651337599,
360,1.1519274677745335,
361,1.1527519410496636,
362,1.1520839115091481,
363,1.1556747441979625,
364,1.1544818817775224,
365,1.1540883872987864,
366,1.1563423266040773,
